Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;89;88.3631;21.112;36.6804;5.1181;218.33;0.442;23;0.056;25.74778;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;91;90.3493;21.1144;36.6803;5.1184;218.34;0.441;21.43;0.053;25.74715;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;93;92.3339;21.1127;36.6802;5.1183;217.52;0.441;19.95;0.059;25.74765;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;95;94.3198;21.1098;36.6798;5.1181;218.27;0.442;18.5;0.063;25.74825;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;97;96.3042;21.1098;36.68;5.1182;217.92;0.441;17.28;0.061;25.74851;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;99;98.2896;21.0944;36.6773;5.1163;217.42999;0.44;15.92;0.069;25.7508;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;101;100.2746;21.0561;36.67;5.1114;217.44;0.439;14.62;0.066;25.75586;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;103;102.2592;21.0107;36.6627;5.1058;217.23;0.437;13.62;0.064;25.76286;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;105;104.2446;20.8443;36.6374;5.085;217.11;0.437;12.47;0.075;25.78919;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;107;106.2293;20.7453;36.6245;5.073;215.8;0.437;11.52;0.083;25.80642;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;109;108.2149;20.7204;36.6224;5.0702;216.33;0.435;10.73;0.081;25.81169;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;111;110.2006;20.7029;36.6235;5.0686;215.23;0.432;9.68;0.078;25.81739;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;113;112.185;20.6114;36.6203;5.0586;215.11;0.432;8.74;0.077;25.83987;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;115;114.1695;20.5967;36.6206;5.0571;214.46001;0.43;8.04;0.073;25.84418;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;117;116.1552;20.5309;36.6207;5.0503;214.10001;0.427;7.48;0.067;25.86215;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;119;118.1404;20.4913;36.62;5.0461;215.17999;0.426;7.01;0.06;25.87241;1;2;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;121;120.1246;20.4763;36.6203;5.0446;214.62;0.424;6.42;0.058;25.87679;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;123;122.1092;20.4539;36.619;5.0422;214.55;0.423;5.9;0.064;25.88194;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;125;124.0944;20.4329;36.6196;5.0401;214.71001;0.421;5.5;0.051;25.88815;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;127;126.0797;20.4116;36.6168;5.0376;213.92;0.42;5;0.045;25.89186;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;129;128.0648;20.3929;36.6163;5.0356;213.16;0.419;4.58;0.041;25.89661;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;131;130.0497;20.3523;36.6152;5.0313;210.88;0.419;3.95;0.041;25.90678;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;133;132.0347;20.2871;36.6133;5.0243;209.63;0.418;3.84;0.035;25.92293;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;135;134.01871;20.2226;36.6131;5.0175;207.88;0.416;3.67;0.034;25.94015;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;137;136.0042;20.1858;36.6117;5.0135;206.48;0.416;3.47;0.037;25.94902;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;139;137.98891;20.1031;36.6078;5.0044;205;0.416;3.22;0.031;25.96821;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;141;139.9733;19.9938;36.6054;4.9927;201.10001;0.415;2.97;0.03;25.99556;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;143;141.95799;19.9318;36.6029;4.9859;199.25;0.414;2.76;0.034;26.0102;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;145;143.9427;19.9061;36.6022;4.9832;198.06;0.413;2.56;0.036;26.01657;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;147;145.9276;19.8634;36.5999;4.9785;198.57001;0.412;2.35;0.033;26.02621;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
