Representative_Sequence,B321D,B321N,B323D,B323N,B324D,B324N,B325D,B325N,B326D,B326N,B327D,B327N,B328D,B328N,B329N,B330D,B330N,B331D,B331N,B332D,B332N,B333D,B333N,B334D,B334N,B335D,B335N,total,relative
M04837_139_000000000-C4LDR_1_1104_16936_15199,158,99,70,53,210,195,18,563,113,161,189,200,139,453,228,176,105,82,422,110,46,251,361,107,167,166,254,5096,0.204819034987239
M04837_139_000000000-C4LDR_1_2106_28039_19805,73,52,0,22,26,7,220,355,12,14,26,42,197,145,54,88,134,110,76,98,18,122,19,9,25,67,83,2094,0.08416229577379876
M04837_139_000000000-C4LDR_1_2118_11631_20821,0,11,0,0,2,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,71,6293,0,0,6432,0.25851570507023575
M04837_139_000000000-C4LDR_1_1115_27481_17255,0,0,0,0,16,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1983,0,0,2028,0.0815096159643094
M04837_139_000000000-C4LDR_1_2111_22466_18808,3,0,311,70,77,2,15,7,14,29,256,171,206,446,66,4,3,206,15,144,31,72,44,13,0,34,17,2256,0.09067341894254537
M04837_139_000000000-C4LDR_1_2103_15718_1460,17,110,4,3,70,27,17,262,0,101,1,21,24,82,299,101,170,65,96,78,78,65,116,19,50,15,122,2013,0.08090673418942546
M04837_139_000000000-C4LDR_1_2114_23363_2673,125,0,0,0,112,102,113,174,0,0,0,0,0,0,0,564,148,410,0,174,0,0,0,0,0,0,191,2113,0.08492594602198508
M04837_139_000000000-C4LDR_1_1117_11166_7749,54,1,105,88,96,147,223,39,0,1,2,4,24,2,28,28,2,153,1,247,8,251,36,442,29,0,9,2020,0.08118807901770463
M04837_139_000000000-C4LDR_1_2108_3189_11630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,211,129,632,101,176,461,389,0,0,0,0,0,2104,0.08456421695705472
M04837_139_000000000-C4LDR_1_2112_8170_7934,12,0,0,0,0,0,337,91,53,126,9,16,0,161,266,0,120,297,13,170,48,53,79,4,15,106,0,1976,0.07941962581137839
M04837_139_000000000-C4LDR_1_2107_25592_15394,0,0,0,0,252,59,36,1,0,35,1,0,6,19,0,0,3,144,1,29,648,0,0,2,0,0,132,1368,0.054982817869415807
M04837_139_000000000-C4LDR_1_1105_9210_15660,393,63,6,43,47,53,15,157,27,102,7,30,11,57,105,47,86,151,193,65,115,17,16,84,17,72,148,2127,0.08548863567854344
M04837_139_000000000-C4LDR_1_2109_14376_11550,46,117,25,34,1,12,23,13,260,102,261,241,17,30,11,44,201,92,85,70,170,9,115,1,14,17,102,2113,0.08492594602198508
M04837_139_000000000-C4LDR_1_1105_8525_6954,2,0,0,4,0,11,0,3,24,35,206,130,36,83,5,22,5,12,1,804,14,71,31,167,3,1,94,1764,0.07089889672635197
M04837_139_000000000-C4LDR_1_2113_20973_22379,2,108,82,345,0,0,1,0,16,3,31,16,0,0,0,41,327,6,1,45,71,63,48,0,512,95,19,1832,0.07363196077249251
M04837_139_000000000-C4LDR_1_2101_2318_10291,59,355,85,156,60,56,33,405,7,37,14,15,11,2,84,63,148,91,38,116,122,100,304,33,306,37,2,2739,0.11008621209380841
M04837_139_000000000-C4LDR_1_1111_11629_2882,45,104,60,61,1,25,27,22,198,99,185,108,31,40,18,104,188,126,115,49,113,21,96,0,16,25,80,1957,0.07865597556319205
M04837_139_000000000-C4LDR_1_2104_14993_18299,0,0,0,0,38,0,0,0,4,7,3,98,0,0,899,0,0,0,0,0,0,19,0,0,0,0,1646,2714,0.1090814091356685
M04837_139_000000000-C4LDR_1_1114_25728_7816,0,0,2,843,0,0,389,4,47,154,0,0,0,0,66,0,0,0,0,58,0,0,0,0,0,0,0,1563,0.06282028094290709
M04837_139_000000000-C4LDR_1_2114_23514_11532,0,0,0,17,0,0,89,148,69,57,222,0,0,0,12,10,0,443,696,37,171,1,0,0,0,0,36,2008,0.08070577359779747
M04837_139_000000000-C4LDR_1_2117_8781_7865,114,215,65,96,6,8,3,152,4,4,5,36,5,4,387,28,86,46,16,45,121,89,137,27,51,1,14,1765,0.07093908884467756
M04837_139_000000000-C4LDR_1_1107_11633_5134,52,125,22,18,0,11,25,10,264,76,264,232,44,64,15,96,220,73,154,69,91,14,125,0,18,11,127,2220,0.0892265026828239
M04837_139_000000000-C4LDR_1_1111_28258_9257,24,1,200,202,48,10,140,223,4,46,13,37,578,244,94,32,25,48,1,82,46,411,84,12,0,6,154,2765,0.11113120717027392
M04837_139_000000000-C4LDR_1_1107_14127_1280,0,0,3,2,18,14,2,115,6,49,396,0,15,74,64,10,0,18,1,207,36,173,1201,41,92,1,30,2568,0.10321335986013143
M04837_139_000000000-C4LDR_1_2105_7054_13072,66,244,1,17,27,51,9,1,0,4,0,0,0,0,1,16,63,129,14,111,184,66,222,272,827,94,14,2433,0.09778742388617592
M04837_139_000000000-C4LDR_1_2119_9935_21892,18,119,232,642,0,1,84,73,138,8,26,1,13,4,16,13,32,35,338,66,26,18,13,8,38,21,12,1995,0.08018327605956473
M04837_139_000000000-C4LDR_1_2108_9772_17885,65,21,73,89,215,58,49,40,57,35,65,22,10,6,16,18,23,3,19,16,18,48,29,36,24,315,47,1417,0.056952231667370026
M04837_139_000000000-C4LDR_1_2105_27046_8949,23,61,53,46,2,18,43,20,126,120,99,107,14,32,12,47,88,142,66,35,194,4,59,0,4,21,67,1503,0.06040875384337131
M04837_139_000000000-C4LDR_1_1102_20094_9768,18,0,0,0,115,0,59,20,0,0,0,0,0,138,1,63,1,0,0,17,0,943,205,421,31,0,0,2032,0.08167038443761178
M04837_139_000000000-C4LDR_1_2108_22520_25011,13,206,0,12,2,85,8,26,0,18,11,56,22,13,275,148,51,29,5,47,34,34,47,35,67,2,0,1246,0.050079379433693054
M04837_139_000000000-C4LDR_1_1111_19680_4653,83,218,15,104,92,16,66,174,11,28,297,56,595,183,142,87,42,128,370,151,114,5,3,4,21,3,11,3019,0.12134000522497539
M04837_139_000000000-C4LDR_1_1119_19309_11470,369,3,18,34,18,66,5,158,99,134,134,20,77,111,145,3,6,0,0,1,0,20,35,32,77,33,1,1599,0.06426719720262856
M04837_139_000000000-C4LDR_1_1102_6926_17094,11,131,4,0,39,144,20,44,0,154,11,115,100,61,103,108,91,69,66,72,58,29,86,59,22,0,49,1646,0.0661562267639316
M04837_139_000000000-C4LDR_1_1117_19536_5631,110,69,40,143,8,82,86,11,159,114,23,15,17,0,22,35,28,184,107,308,88,33,156,343,113,16,123,2433,0.09778742388617592
M04837_139_000000000-C4LDR_1_2109_17841_22431,47,7,106,55,7,15,66,29,64,49,136,47,87,93,58,84,130,71,4,95,26,339,54,52,2,58,39,1820,0.07314965535258536
M04837_139_000000000-C4LDR_1_2114_12409_11611,52,59,0,0,362,0,2,0,0,12,5,12,118,692,47,229,68,0,18,24,4,0,0,0,0,227,0,1931,0.07761098048672656
M04837_139_000000000-C4LDR_1_2112_16008_2550,39,21,46,99,23,14,117,186,103,143,198,70,100,63,373,119,78,233,78,113,47,225,12,16,28,41,23,2608,0.10482104459315528
M04837_139_000000000-C4LDR_1_1105_25101_5677,47,22,34,72,26,10,88,140,79,114,102,74,78,63,245,91,59,167,84,93,45,168,8,10,29,28,17,1993,0.08010289182291352
M04837_139_000000000-C4LDR_1_1101_5881_21061,57,0,0,0,0,0,0,0,1771,2,0,0,0,10,17,3,1,1331,1,204,5,0,0,0,0,0,0,3402,0.1367335865436788
M04837_139_000000000-C4LDR_1_1113_23087_15999,26,83,24,24,2,5,26,17,111,84,91,100,29,59,12,41,140,134,127,41,86,8,93,1,12,10,62,1448,0.058198187335463517
M04837_139_000000000-C4LDR_1_2111_24390_19304,57,16,24,2,8,4,13,52,17,25,5,17,1,0,10,18,24,31,76,64,33,7,193,413,198,15,211,1534,0.0616547095114648
M04837_139_000000000-C4LDR_1_1101_19779_4115,91,317,221,207,163,163,195,233,117,212,53,86,76,88,95,46,101,62,148,90,164,85,306,189,261,101,109,3979,0.1599244388175479
M04837_139_000000000-C4LDR_1_2108_21201_4648,59,48,49,67,94,54,27,52,0,36,2,11,10,0,32,38,62,96,118,47,20,94,83,209,180,251,126,1865,0.07495830067723719
M04837_139_000000000-C4LDR_1_1109_22607_1397,0,0,0,0,0,0,0,0,0,0,391,280,484,512,4,0,0,0,0,0,0,0,0,0,0,0,1,1672,0.0672012218403971
M04837_139_000000000-C4LDR_1_1104_26341_9487,0,898,0,0,0,0,0,35,0,0,0,0,0,8,0,2,2,12,347,0,153,0,43,0,0,0,0,1500,0.060288177488394525
M04837_139_000000000-C4LDR_1_2109_21568_12573,0,37,0,0,0,4,133,1,0,0,0,0,0,0,2,0,0,0,2,30,47,21,2,0,0,0,975,1254,0.050400916380297825
M04837_139_000000000-C4LDR_1_2106_22207_10772,0,523,0,3,0,0,0,179,2,38,1,0,0,85,11,66,68,0,193,3,0,38,37,0,0,0,0,1247,0.05011957155201865
